batsman,bowler,avg,sr,innings
Virat Kohli,Sunil Narine,14.8,78.3,12
Virat Kohli,Jasprit Bumrah,32.4,122.6,9
Virat Kohli,Yuzvendra Chahal,41.2,128.4,14
Virat Kohli,Rashid Khan,22.1,105.7,8
Rohit Sharma,Mitchell Starc,28.5,124.8,6
Rohit Sharma,Jasprit Bumrah,18.2,118.3,11
Rohit Sharma,Yuzvendra Chahal,35.6,138.2,13
Rohit Sharma,Sunil Narine,20.4,98.6,9
Jos Buttler,Yuzvendra Chahal,48.2,158.4,11
Jos Buttler,Jasprit Bumrah,21.8,108.2,7
Jos Buttler,Rashid Khan,18.5,112.3,9
Jos Buttler,Trent Boult,29.4,132.6,8
Suryakumar Yadav,Jasprit Bumrah,28.6,145.2,8
Suryakumar Yadav,Rashid Khan,19.2,138.4,10
Suryakumar Yadav,Kagiso Rabada,42.8,168.5,7
Shubman Gill,Yuzvendra Chahal,38.4,142.1,13
Shubman Gill,Mohammed Shami,24.6,118.3,8
Shubman Gill,Rashid Khan,31.2,128.6,10
KL Rahul,Jasprit Bumrah,29.8,120.4,9
KL Rahul,Sunil Narine,16.4,88.2,11
KL Rahul,Trent Boult,22.8,115.6,8
Sanju Samson,Jasprit Bumrah,18.4,124.8,8
Sanju Samson,Yuzvendra Chahal,42.6,152.4,10
Rishabh Pant,Rashid Khan,21.4,138.6,9
Rishabh Pant,Kagiso Rabada,32.8,158.2,7
Faf du Plessis,Sunil Narine,17.6,92.4,9
Faf du Plessis,Jasprit Bumrah,26.4,118.8,8
David Warner,Yuzvendra Chahal,36.2,138.4,15
David Warner,Rashid Khan,22.8,118.5,10
Andre Russell,Jasprit Bumrah,24.6,142.8,8
Andre Russell,Yuzvendra Chahal,38.4,185.2,9
Travis Head,Mohammed Shami,28.4,148.6,6
Travis Head,Rashid Khan,24.8,138.2,7
Heinrich Klaasen,Jasprit Bumrah,22.6,128.4,6
Heinrich Klaasen,Kagiso Rabada,36.8,162.4,7
